1	A	C	L	L	L	L	L	L	L	L	L	L	L	
2	G	B	A	L	L	L	L	L	L	L	L	L	L	
3	G	C	G	G	L	L	L	L	L	L	L	L	L	
4	G	B	A	B	C	L	L	L	L	L	L	L	L	
5	G	C	G	L	C	A	L	L	L	L	L	L	L	
6	G	B	A	L	A	A	G	L	L	L	L	L	L	
7	G	C	G	L	A	B	B	C	L	L	L	L	L	
8	G	B	A	L	L	B	C	C	A	L	L	L	L	
9	G	C	G	G	L	L	C	A	A	G	L	L	L	
10	G	B	A	B	C	L	A	A	B	B	C	L	L	
11	G	C	G	L	C	L	A	B	B	C	C	A	L	
12	G	B	A	L	C	L	L	B	C	C	A	A	C	
13	G	C	G	L	C	A	L	L	C	A	A	C	B	
14	G	B	A	L	A	A	G	L	A	A	C	B	L	
15	G	C	G	L	A	B	B	L	A	C	B	L	L	
16	G	B	A	L	L	B	G	L	G	B	L	L	L	
17	G	C	G	G	L	B	B	A	G	C	L	L	L	
18	G	B	A	B	L	B	A	C	G	B	A	L	L	
19	G	C	G	G	L	G	C	B	G	C	G	G	L	
20	G	B	A	B	A	G	B	L	G	B	A	B	A	
21	G	C	G	B	C	G	C	L	G	C	G	B	C	
22	G	B	G	B	G	G	B	G	G	B	G	B	G	
23	G	G	G	G	G	G	G	G	G	G	G	G	G	
24	F	F	F	F	F	F	F	F	F	F	F	F	F	
